subjectId,runtrial,onsettime,ImageLeft,ImageRight,StimNumLeft,StimNumRight,RT
-51QWulrb6urU8hvrKV6PO73IvpQElaX,1,11971,101.jpg,107.jpg,0,6,556
-51QWulrb6urU8hvrKV6PO73IvpQElaX,2,15479,108.jpg,109.jpg,7,8,860
-51QWulrb6urU8hvrKV6PO73IvpQElaX,3,18984,104.jpg,106.jpg,3,5,-1
-51QWulrb6urU8hvrKV6PO73IvpQElaX,4,24989,102.jpg,101.jpg,1,0,432
-51QWulrb6urU8hvrKV6PO73IvpQElaX,5,28492,104.jpg,101.jpg,3,0,429
